edge_type,cid,name,possible_edges,items_sold_may_2017,inventory,items_sold_change_2017,actual_edges,avg_weight,nodes,network_density_X_100,avg_degree,avg_indegree,avg_outdegree
transaction,1,Vaudreuil-Dorion & Surrounding Areas,839413851,17809,241893,0.20388021361454742,412172,1.6239458284405537,40974,0.049102358688622595,20.118709425489335,35.9379865771812,21.986105636578635
transaction,2,Turks and Caicos Islands,73536,0,0,0,4154,1.5666827154549834,384,5.6489338555265443,21.635416666666668,79.365853658536579,1.7849698299506309
transaction,3,West Island of Montreal,2237637753,25988,384177,0.26981334896902182,493293,1.6136008416904348,66898,0.022045257295942665,14.747615773266764,29.929610829103225,23.420072380616112
transaction,4,Laval,367326960,1265,86613,0.51497005988023947,258790,1.6276401715676796,27105,0.07045222055032388,19.095369857959785,42.457111178308651,15.170790563659274
transaction,5,Valleyfield et environs,116182146,1075,73784,0.9299820466786356,212926,1.6121516395367406,15244,0.18326912295112882,27.935712411440566,46.175544794188859,15.045759368836286
transaction,6,Casa Grande Buy-Sell-Trade,144453,0,0,0,587,1.6575809199318563,538,0.40636054633687085,2.1821561338289963,57.235294117647065,1.7313167259786477
transaction,7,"Whidbey Island Neighbors' Classifieds, WA",4385241,1,2498,-0.95238095238095233,10959,1.7723332420841318,2962,0.2499064475589825,7.3997299122214724,67.912587412587413,2.2746223211148853
transaction,8,"Mount Forest, Arthur & Fergus Ontario Buy and Sell",25229856,62,14778,-0.39215686274509803,51511,1.877870746054241,7104,0.20416684106322286,14.50197072072072,33.881260945709272,6.9123195655280831
transaction,11,"Fort Lewis Flea Market, WA",25529085,14,8822,0.75,12283,2.0037450134331993,7146,0.04811374947437403,3.4377273999440248,53.973684210526308,3.6778242677824267
transaction,12,New Richmond Wisconsin Buy and Sell,26882778,64,12022,-0.072463768115942032,15900,2.3515723270440261,7333,0.059145673114586593,4.3365607527614891,53.262108262108271,3.0258153273448256
transaction,13,"Mohawk Valley, NY Garage Sale",22234446,215,8968,0.97247706422018354,5974,1.9688650820220959,6669,0.026868220597895717,1.7915729494676864,26.137777777777782,2.6490990990990988
transaction,14,"Orangeville/Shelburne, Ontario Buy & Sell",112102851,3041,45852,0.26339842127129204,101277,1.7179418821647567,14974,0.090342929815406744,13.527046881260851,33.699012202208031,6.2813819993501605
transaction,15,"Swan River Valley, MB Buy & Sell",5057790,286,6221,-0.23118279569892472,11559,1.8025780776883815,3181,0.22853855142265694,7.26752593524049,27.967785234899328,2.8390788935822324
transaction,16,"Parkland, MB Bidding Wars",105111,0,0,0,192,1.5,459,0.18266404087107913,0.83660130718954251,16,1.5238095238095239
transaction,18,"Moore County, NC Buy and Sell",2425503,6,1819,0.5,1912,1.6976987447698741,2203,0.0788290099002145,1.7358147980027236,24.969230769230769,1.7211028632025454
transaction,19,Minnesota East Metro,16759155,8,8848,-0.72413793103448276,4622,2.5157940285590668,5790,0.027578956098920259,1.5965457685664939,39.020134228187921,2.76659528907923
transaction,20,"Opelika-Auburn Online, AL",13899628,22,3347,-0.15384615384615385,7988,1.9320230345518281,5273,0.057469163922948152,3.0297743220178268,24.2276295133438,2.4661233620965164
transaction,21,"Weatherford, TX and surrounding cities",18926628,4,4445,-0.69230769230769229,5401,1.8141084984262172,6153,0.028536514798092931,1.7555663903786771,25.383419689119172,1.9870208882579594
transaction,22,PUTCO Tennessee Group,5076891,16,3943,1.2857142857142858,16065,1.6703392468098346,3187,0.31643381746821037,10.081581424537182,46.58680555555555,3.0396465790666056
transaction,23,Test,134832831,0,6,0,81574,2.0460318238654485,16422,0.060500101789007159,9.9347217147728664,49.364980774918656,3.0312931347620764
